Date,Close,Open,High,Low
2013-01-02,814.5968529565333,814.5968529565333,814.5968529565333,814.5968529565333
2013-01-03,820.7563313791754,820.7563313791754,820.7563313791754,820.7563313791754
2013-01-04,822.6638919045924,822.6638919045924,822.6638919045924,822.6638919045924
2013-01-07,821.786652115345,821.786652115345,821.786652115345,821.786652115345
2013-01-08,819.9261969521045,819.9261969521045,819.9261969521045,819.9261969521045
2013-01-09,822.0020840671062,822.0020840671062,822.0020840671062,822.0020840671062
2013-01-10,824.875208083868,824.875208083868,824.875208083868,824.875208083868
2013-01-11,825.9895819053652,825.9895819053652,825.9895819053652,825.9895819053652
2013-01-14,825.6262442594768,825.6262442594768,825.6262442594768,825.6262442594768
2013-01-15,825.7950989360809,825.7950989360809,825.7950989360809,825.7950989360809
2013-01-16,826.585227327347,826.585227327347,826.585227327347,826.585227327347
2013-01-17,829.983003502369,829.983003502369,829.983003502369,829.983003502369
2013-01-18,831.3406463496685,831.3406463496685,831.3406463496685,831.3406463496685
2013-01-22,834.1144440860747,834.1144440860747,834.1144440860747,834.1144440860747
2013-01-23,836.1723257297278,836.1723257297278,836.1723257297278,836.1723257297278
2013-01-24,836.7532949246167,836.7532949246167,836.7532949246167,836.7532949246167
2013-01-25,839.5327317119838,839.5327317119838,839.5327317119838,839.5327317119838
2013-01-28,839.6157378073931,839.6157378073931,839.6157378073931,839.6157378073931
2013-01-29,840.9088667891026,840.9088667891026,840.9088667891026,840.9088667891026
2013-01-30,840.2029522053004,840.2029522053004,840.2029522053004,840.2029522053004
2013-01-31,838.8120903884173,838.8120903884173,838.8120903884173,838.8120903884173
2013-02-01,842.9879086500407,842.9879086500407,842.9879086500407,842.9879086500407
2013-02-04,839.0877334445715,839.0877334445715,839.0877334445715,839.0877334445715
2013-02-05,842.0207425293922,842.0207425293922,842.0207425293922,842.0207425293922
2013-02-06,843.5185534479618,843.5185534479618,843.5185534479618,843.5185534479618
2013-02-07,842.5761477204562,842.5761477204562,842.5761477204562,842.5761477204562
2013-02-08,846.1267063584328,846.1267063584328,846.1267063584328,846.1267063584328
2013-02-11,846.5248150905372,846.5248150905372,846.5248150905372,846.5248150905372
2013-02-12,847.57144223547,847.57144223547,847.57144223547,847.57144223547
