Date,Close,Open,High,Low
2013-01-02,821.6905494618417,821.6905494618417,821.6905494618417,821.6905494618417
2013-01-03,826.5927583074571,826.5927583074571,826.5927583074571,826.5927583074571
2013-01-04,830.0898883152008,830.0898883152008,830.0898883152008,830.0898883152008
2013-01-07,827.8993374359608,827.8993374359608,827.8993374359608,827.8993374359608
2013-01-08,825.585489717722,825.585489717722,825.585489717722,825.585489717722
2013-01-09,829.1315710961819,829.1315710961819,829.1315710961819,829.1315710961819
2013-01-10,832.1306461632253,832.1306461632253,832.1306461632253,832.1306461632253
2013-01-11,833.2750336956979,833.2750336956979,833.2750336956979,833.2750336956979
2013-01-14,832.5995874369145,832.5995874369145,832.5995874369145,832.5995874369145
2013-01-15,833.3354192984104,833.3354192984104,833.3354192984104,833.3354192984104
2013-01-16,833.9378977072239,833.9378977072239,833.9378977072239,833.9378977072239
2013-01-17,838.1682880222799,838.1682880222799,838.1682880222799,838.1682880222799
2013-01-18,839.6157975041867,839.6157975041867,839.6157975041867,839.6157975041867
2013-01-22,842.7300414621831,842.7300414621831,842.7300414621831,842.7300414621831
2013-01-23,844.8062500214577,844.8062500214577,844.8062500214577,844.8062500214577
2013-01-24,845.5011666190625,845.5011666190625,845.5011666190625,845.5011666190625
2013-01-25,849.3762232506276,849.3762232506276,849.3762232506276,849.3762232506276
2013-01-28,848.087277636528,848.087277636528,848.087277636528,848.087277636528
2013-01-29,850.6134163367749,850.6134163367749,850.6134163367749,850.6134163367749
2013-01-30,848.0380507421494,848.0380507421494,848.0380507421494,848.0380507421494
2013-01-31,847.5045450901986,847.5045450901986,847.5045450901986,847.5045450901986
2013-02-01,853.2802557873727,853.2802557873727,853.2802557873727,853.2802557873727
2013-02-04,845.4615371322633,845.4615371322633,845.4615371322633,845.4615371322633
2013-02-05,852.0104131472111,852.0104131472111,852.0104131472111,852.0104131472111
2013-02-06,853.5018686532975,853.5018686532975,853.5018686532975,853.5018686532975
2013-02-07,850.6099722909928,850.6099722909928,850.6099722909928,850.6099722909928
2013-02-08,856.8870901334286,856.8870901334286,856.8870901334286,856.8870901334286
2013-02-11,856.5076022088529,856.5076022088529,856.5076022088529,856.5076022088529
2013-02-12,858.1006341052056,858.1006341052056,858.1006341052056,858.1006341052056
2013-02-13,858.3800150990487,858.3800150990487,858.3800150990487,858.3800150990487
2013-02-14,858.6800144469738,858.6800144469738,858.6800144469738,858.6800144469738
2013-02-15,857.973066649437,857.973066649437,857.973066649437,857.973066649437
2013-02-19,863.0747087061405,863.0747087061405,863.0747087061405,863.0747087061405
2013-02-20,852.8501633501054,852.8501633501054,852.8501633501054,852.8501633501054
2013-02-21,847.562221376896,847.562221376896,847.562221376896,847.562221376896
2013-02-22,854.5711759877205,854.5711759877205,854.5711759877205,854.5711759877205
2013-02-25,839.6343035101892,839.6343035101892,839.6343035101892,839.6343035101892
2013-02-26,844.6818510878087,844.6818510878087,844.6818510878087,844.6818510878087
2013-02-27,852.492074429989,852.492074429989,852.492074429989,852.492074429989
2013-02-28,855.9206908869744,855.9206908869744,855.9206908869744,855.9206908869744
2013-03-01,853.4484170627594,853.4484170627594,853.4484170627594,853.4484170627594
2013-03-04,858.0614179039002,858.0614179039002,858.0614179039002,858.0614179039002
2013-03-05,865.9950758469106,865.9950758469106,865.9950758469106,865.9950758469106
2013-03-06,868.305984646082,868.305984646082,868.305984646082,868.305984646082
2013-03-07,870.3388441491128,870.3388441491128,870.3388441491128,870.3388441491128
2013-03-08,872.5996535623074,872.5996535623074,872.5996535623074,872.5996535623074
2013-03-11,874.9720959794522,874.9720959794522,874.9720959794522,874.9720959794522
